13:31:12,141 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Ótima 
13:31:12,143 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:31:16,761 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Aceitável 
13:31:16,761 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:31:22,730 02/11/2020 >> Main.vi >> Botão Sair pressionado 
13:31:28,883 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:38:25,594 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 1 
15:38:25,593 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:38:25,603 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:38:25,604 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 1 
15:38:41,953 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:39:38,766 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 1 
15:39:38,766 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:39:38,778 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:39:38,781 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 1 
15:39:54,253 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:39:54,253 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:39:58,948 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Aceitável 
15:39:58,949 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:40:01,111 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:43:33,890 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
15:43:33,890 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:43:33,921 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:43:33,921 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:43:45,009 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:44:06,873 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
15:44:06,872 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:48:14,558 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
15:48:14,558 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:48:14,561 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:48:14,562 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:48:30,325 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Aceitável 
